,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000,-0.3444978337410507,1.481596124580223,-0.1583121120809938,Signatum,0
ONX,X11,PoW,122475638.389743,1100000000,-0.2099306212765523,-0.983055114707886,-0.011215718025617986,Onix,3
CRM,Skein,PoW/PoS,47331802.4774238,100000000,-0.4062769025288564,1.8927470789250265,-0.5731210600424435,Cream,0
BCH,SHA-256,PoW,17995589.6469082,21000000,-0.14748677117178172,-1.342688872465079,0.15825519722159187,Bitcoin Cash,3
XMCC,X11,PoW/PoS,12569262.5359307,9507271,-0.38468090523485887,1.1940639123769563,-0.4857333170327632,Monoeci,0
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116,-0.2981361446602649,0.8798260267397977,-0.23919941042927487,Draftcoin,0
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466,4.432388250604132,1.4684149199905987,-4.984875951136499,Vechain,0
SOJ,Scrypt,PoW,485214.0,10500000000,-0.10011580065317721,-1.0687164889936196,0.017694177008757493,Sojourn Coin,3
STCN,PoS,PoS,4000000.0,61599965,-0.35753088385071885,1.5578083607154034,-0.18478915198555285,Stakecoin,0
NYC,Scrypt,PoW,143006669741.687,0,1.5731373992267481,-1.002127492818336,0.0122352241601634,NewYorkCoin,3
FRAZ,Scrypt,PoW,9704042.0,20000000,-0.17427099552898098,-1.063854287245653,0.01801736706926788,FrazCoin,3
KRONE,Scrypt,PoW,17453749.4042601,84000000,-0.1737227430447279,-1.0638806110069619,0.018015077716656933,Kronecoin,3
ACC,Scrypt,PoW,32646731.063036,100000000,-0.17342368525211058,-1.0638814708468107,0.018013969327288444,AdCoin,3
LINX,Scrypt,PoW,33716526.0,100000000,-0.1734106114063185,-1.0638810091230722,0.01801392606505703,Linx,3
XCXT,Scrypt,PoW/PoS,19539588.0,48252000,-0.3396297994189346,1.1127978029932009,-0.45653961475241533,CoinonatX,0
ETHD,Scrypt,PoW/PoS,4200000.0,4200000,-0.34012944294864467,1.112811603648252,-0.45653763434791583,Ethereum Dark,0
SUMO,CryptoNight,PoW,8946653.0,88888888,0.30188543949682184,-2.3206625716416096,0.3338745458628072,Sumokoin,3
ODN,SHA-512,PoS,25000000.0,91388946,-0.29532809848223884,1.5439429043097561,0.05047009407671416,Obsidian,0
ADA,Ouroboros,PoS,25927070538.0,45000000000,0.6316088975449475,1.5754123398121689,-0.01587465794173583,Cardano,0
REC,X11,PoW/PoS,7262402.04264803,27000000,-0.3846217953349596,1.1940535128148515,-0.48573364250079704,Regalcoin,0
BTCZ,Equihash,PoW,5211553258.01514,21000000000,0.0827223039531549,-2.063135869495446,0.23316957057918913,BitcoinZ,3
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000,-0.3430557899168343,0.5809275814689041,-0.21106149505191865,TrezarCoin,0
ELM,X11,PoW,2702855668.85288,1800000000,-0.17343544255018628,-0.9822659217193892,-0.011341679951831662,Elements,3
TER,Scrypt,PoW/PoS,1140734.91680375,15733333,-0.3400850974535505,1.1128049367513315,-0.45653786671583185,TerraNovaCoin,0
VIVO,NeoScrypt,PoW,4165967.57499639,27000000,-0.18220097948285072,-1.5956374773523112,0.2635129502618095,VIVO Coin,3
RUP,Lyra2REv2,PoS,24000000.0,24000000,-0.3160215442392523,0.6058741906216607,-0.05945117220077636,Rupee,0
BTG,Equihash,PoW,17202361.088994,21000000,-0.12942764500332518,-2.0556524988809852,0.23402734113630638,Bitcoin Gold,3
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000,0.42917301695684024,1.1221375851040123,-0.4592688813764687,WomenCoin,0
MAY,SHA-256,PoW/PoS,92050800.0,100000000,-0.3117011214581698,0.8339674097001641,-0.31630594843670884,Theresa May Coin,0
NAMO,NIST5,PoW/PoS,560563220.0,1200000000,-0.33770624076376465,1.5267669841010372,-0.44841304649278224,NamoCoin,0
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000,-0.4000498110957458,1.8915481190426728,-0.43366459930916823,LUXCoin,0
PIRL,Dagger,PoW,33986980.0,156306732.71,-0.13995862450055604,-2.387739810608156,0.29216196041853026,Pirl,3
XIOS,Scrypt,PoW/PoS,2149688.0,21000000,-0.3400354442416593,1.1128029307422176,-0.45653807012239334,Xios,0
BTDX,Quark,PoW/PoS,30711550.5294042,200000000,-0.39527216738119947,1.6860220195807816,-0.4631602617647812,Bitcloud 2.0,0
EBST,Scrypt,PoW,99990001.493466,100000000,-0.17260069058059313,-1.0638524054759342,0.018011245982808493,eBoost,3
KEK,POS 2.0,PoS,12330806.30517,21000000,-0.344154531760312,1.4016357432762268,-0.1850036453053651,KekCoin,0
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.991,-0.3399057706605723,1.1128119445889482,-0.4565384531039116,BlackholeCoin,0
XIN,SHA-256,PoS,8999999990.0,9000000000,-0.09804411381520726,0.600700604300387,-0.09960174851273441,Infinity Economics,0
PURA,X11,PoW,175215859.0,350000000,-0.2146010595576685,-0.9826846738511101,-0.011194695086965252,Pura,3
INN,NeoScrypt,PoW,6375259.04,45000000,-0.18204642067917906,-1.595644868097584,0.2635123051808835,Innova,3
ELLA,Ethash,PoW,12756367.0,280000000,-0.15420926552237726,-2.1114160231318477,0.33133424189420596,Ellaism,3
GBX,NeoScrypt,PoW,5832306.875,31800000,-0.1821465995218344,-1.595638983300149,0.26351273467874503,GoByte,3
MAG,X11,PoW/PoS,38198594.8342105,144000000,-0.3834145921108383,1.194012627088893,-0.4857385058478241,Magnet,0
TAU,DPoS,DPoS,288090567.493887,500000000,3.7232960426835664,1.9253671627811058,0.3058454069016197,Lamden Tau,0
ECA,NIST5,PoW/PoS,28399150208.0,30000000000,0.20660093135117455,1.52543128303783,-0.45042801216674144,Electra,0
BCD,X13,PoW/PoS,183534024.889807,210000000,-0.2698811004264661,1.7945087187549729,-0.4895875315512944,Bitcoin Diamond,0
XSH,Multiple,PoW,481730566.566176,660000000,-0.12354142299635544,-1.8133379171084254,0.32865708652378406,SHIELD,3
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000,-0.33736610534179134,1.1127622857273833,-0.4565483063162627,Cash & Back Coin,0
XUN,CryptoNight,PoW,19281821413.4924,85000000000,1.1391505365262133,-2.351706713625644,0.3304735830135643,UltraNote,3
COAL,CryptoNight,PoW,4500000.0,12500000,0.30128975784017786,-2.3206290791534636,0.33387708413923467,BitCoal,3
DAXX,Ethash,PoW,520891780.0,10000000000,-0.07911737856564323,-2.1157026207969993,0.331013594644443,DaxxCoin,3
BWK,NIST5,PoS,13247178.8807286,27716121,-0.3109795102505066,1.2940885016467185,-0.23101550317281433,Bulwark,0
KLKS,Quark,PoS,16955764.902064,20000000,-0.354992909589089,1.4531138279361069,-0.24581493157330714,Kalkulus,0
AC3,X11,PoW,80316207.0,550000000,-0.21434349220719964,-0.9828183467400327,-0.011197032233409458,AC3,3
